Group,MemberIDs,MemberNames,Reports,Times
1,"2, 89, 90, 91, 198","Robert Williams, Daniel Anderson, George Harris, Richard Davis, William Jones",18,3656
2,"7, 80, 138, 140, 164","Daniel Anderson, Joseph Garcia, Richard Davis, Brian Robinson, Kenneth Martin",10,749
6,"12, 14, 71","Mark Jackson, Joseph Garcia, Steven Thompson",10,2300
8,"19, 49, 54, 55, 132","Joseph Garcia, David Miller, Charles Wilson, Daniel Anderson, Mark Jackson",3,185
14,"30, 32, 33, 52","Charles Wilson, James Smith, Richard Davis, Edward Martinez",2,240
26,"88, 96, 149","Edward Martinez, Charles Wilson, Paul Thomas",12,1354
28,"93, 108, 119","Brian Robinson, Michael Brown, Christopher Taylor",10,725
29,"112, 133, 134, 141","James Smith, George Harris, Edward Martinez, John Johnson",10,1183
34,"139, 144, 156, 157, 167, 168","James Smith, James Smith, Edward Martinez, Steven Thompson, John Johnson, Joseph Garcia",11,2552
45,"15, 16, 82, 126","Donald White, William Jones, Daniel Anderson, Kenneth Martin",11,990
