Group,MemberIDs,MemberNames,Reports,Times
1,"2, 89, 90, 91, 198","Robert Williams, Daniel Anderson, George Harris, Richard Davis, William Jones",18,3656
2,"7, 80, 138, 140, 164","Daniel Anderson, Joseph Garcia, Richard Davis, Brian Robinson, Kenneth Martin",10,749
5,"9, 11, 37, 79, 148","Donald White, Kenneth Martin, Daniel Anderson, Michael Brown, John Johnson",11,773
6,"12, 14, 71","Mark Jackson, Joseph Garcia, Steven Thompson",10,2300
7,"17, 21, 64, 178","James Smith, Christopher Taylor, David Miller, James Smith",11,1120
8,"19, 49, 54, 55, 132","Joseph Garcia, David Miller, Charles Wilson, Daniel Anderson, Mark Jackson",3,185
11,"22, 27, 38","Christopher Taylor, Steven Thompson, Edward Martinez",0,0
12,"24, 56, 179, 190","Paul Thomas, David Miller, Joseph Garcia, Christopher Taylor",12,1895
13,"26, 28, 184","Daniel Anderson, John Johnson, Kenneth Martin",11,1169
15,"31, 63, 110, 158","Steven Thompson, Brian Robinson, Michael Brown, Brian Robinson",9,620
20,"48, 107, 114","Donald White, Thomas Moore, Robert Williams",0,0
26,"88, 96, 149","Edward Martinez, Charles Wilson, Paul Thomas",12,1354
27,"92, 97, 98, 99","William Jones, Donald White, Kenneth Martin, Charles Wilson",12,1783
33,"128, 129, 131","Joseph Garcia, David Miller, Brian Robinson",11,694
39,"176, 180, 181","Brian Robinson, Thomas Moore, David Miller",1,185
48,"42, 106","Charles Wilson, Paul Thomas",0,0
